Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2020 additional assessment,2019 additional assessment
CR109,Structural Engineering                            ,396  ,    ,394,,341,False,False
CR110,Automotive Business Management and Technology     ,336  ,    ,311,,318,False,False
CR112,Creative Digital Media at CIT Crawford College of ,390  ,    ,361,,335,False,False
CR116,Computer Systems                                  ,365  ,    ,332,,318,False,False
CR121,Music at CIT Cork School of Music                 ,904 ,    904,868,,633,True,True
CR125,Popular Music at CIT Cork School of Music         ,1028,    ,1088,,972,True,True
CR130,Musical Theatre at CIT Cork School of Music       ,525 ,    ,548,518,500,True,True
CR150,Business Information Systems                      ,350  ,    ,335,,326,False,False
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450 ,    ,,,979,True,True
CR220,Fine Art at CIT Crawford College of Art and Design,400 ,    ,,,620,True,True
CR225,Photography with New Media at CIT Crawford College,435 ,    ,,,920,True,True
CR305,Physical Sciences (Common Entry)                  ,260  ,    ,282,,279,False,False
CR310,IT Management                                     ,347  ,    ,297,,282,False,False
CR320,Biomedical Science - Offered jointly by CIT and UC,590 ,    ,565,,546,False,False
CR325,Pharmaceutical Biotechnology                      ,466  ,    ,398,,388,False,False
CR333,Nutrition and Health Science                      ,425  ,    ,402,,360,False,False
CR335,Biological Sciences (Common Entry)                ,473  ,    ,420,,381,False,False
CR340,Analytical Chemistry with Quality Assurance       ,327  ,    ,251,,288,False,False
CR360,Instrument Engineering                            ,301  ,    ,261,,291,False,False
CR365,Environmental Science and Sustainable Technology  ,262  ,    ,253,,334,False,False
CR370,Agri-Biosciences                                  ,368  ,    ,397,,408,False,False
CR400,Accounting                                        ,315  ,    ,316,,316,False,False
CR420,Marketing                                         ,290  ,    ,285,,288,False,False
CR425,International Business with Language              ,279  ,    ,298,,300,False,False
CR430,Sport and Exercise Management                     ,402  ,    ,322,,,False,False
CR435,Coaching Science and Sports Pedagogy              ,410  ,    ,,,,,False
CR440,Montessori Education                              ,409  ,    408,288,,,False,False
CR500,Engineering (Common Entry)                        ,475  ,    ,411,,381,False,False
CR510,Sustainable Energy Engineering                    ,320  ,    ,320,,319,False,False
CR520,Biomedical Engineering                            ,444  ,    ,444,,434,False,False
CR560,Architectural Technology                          ,375  ,    ,308,,288,False,False
CR565,Interior Architecture                             ,431  ,    ,359,,336,False,False
CR570,Quantity Surveying                                ,375  ,    ,336,,279,False,False
CR572,Construction Management                           ,300  ,    ,269,,253,False,False
CR580,Electrical Engineering                            ,342  ,    ,318,,344,False,False
CR590,Electronic Engineering                            ,329  ,    ,303,,342,False,False
CR600,Visual Communications at CIT Crawford College of A,280 ,    ,,,587,True,True
CR660,Tourism Management                                ,246  ,    ,252,,249,False,False
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609 ,    609,740,645,768,True,True
CR930,Home Economics and Business                       ,518 ,    ,,,,,False
CK101,Arts - 3 years                                    ,300  ,    ,300,,300,False,False
CK102,Social Science                                    ,434  ,    431,412,,391,False,False
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339 ,    ,302,,340,True,True
CK105,Film and Screen Media - 3 years or 4 years (Intern,421  ,    420,368,337,397,False,False
CK107,Geographical and Archaeological Sciences - 3 or 4 ,312  ,    ,328,,326,False,False
CK108,Arts International - 4 years                      ,440 ,    440,401,,429,False,False
CK109,English - 3 years or 4 years (International Pathwa,367  ,    357,318,,347,False,False
CK110,World Languages                                   ,488  ,    ,452,433,456,False,False
CK111,Early Years and Childhood Studies                 ,409  ,    403,419,,398,False,False
CK112,Theatre and Performative Practices - 3 or 4 years ,371 ,    ,330,,324,True,True
CK113,Criminology - 3 years or 4 years (International Pa,464  ,    463,423,,408,False,False
CK114,Social Science (Youth and Community Work)         ,    ,    ,,,,True,True
CK115,Social Work - Mature Applicants only              ,     ,    ,,,,False,True
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347  ,    339,336,,307,False,False
CK120,Applied Psychology                                ,544  ,    543,533,532,506,False,False
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499  ,    488,466,,393,False,False
CK122,Government and Political Science                  ,399  ,    ,337,328,355,False,False
CK123,Anthropology                                      ,308  ,    ,308,,,False,False
CK124,Education - Gaeilge                               ,473  ,    ,463,462,,False,False
CK125,Sports Studies and Physical Education             ,564  ,    555,510,509,,False,False
CK201,Commerce                                          ,500  ,    499,477,,465,False,False
CK202,Accounting                                        ,553  ,    543,509,,467,False,False
CK203,Business Information Systems                      ,455  ,    452,430,,409,False,False
CK204,Finance                                           ,566 ,    566,556,,531,False,False
CK205,Commerce (International) with French              ,465  ,    ,445,,409,False,False
CK206,Commerce (International) with German              ,466  ,    455,420,418,408,False,False
CK207,Commerce (International) with Italian             ,423  ,    418,388,,408,False,False
CK208,Commerce (International) with Hispanic Studies    ,488  ,    486,402,,431,False,False
CK209,Commerce (International) with Irish               ,507  ,    ,484,,509,False,False
CK211,Commerce (International) with Chinese Studies     ,385  ,    ,397,,398,False,False
CK212,Economics (through Transformational Learning) 3 or,445  ,    444,444,,400,False,False
CK213,Food Marketing and Entrepreneurship               ,466  ,    ,462,,,False,False
CK214,International Development                         ,332  ,    ,346,,,False,False
CK301,Law (Pathways) -  3 or 4 years                    ,533  ,    532,507,499,476,False,False
CK302,Law and French                                    ,545  ,    ,542,,453,False,False
CK304,Law and Irish                                     ,588  ,    ,540,,462,False,False
CK307,Law and Business                                  ,589 ,    589,556,,522,False,False
CK401,Computer Science                                  ,503  ,    495,468,,402,False,False
CK402,Biological and Chemical Sciences                  ,555 ,    555,510,509,498,False,False
CK404,Biological  Earth and Environmental Sciences      ,500  ,    495,467,,412,False,False
CK405,Genetics                                          ,543  ,    ,487,,476,False,False
CK406,Chemical Sciences                                 ,532  ,    ,485,472,457,False,False
CK407,Mathematical Sciences                             ,566  ,    ,566,565,531,False,False
CK408,Physics and Astrophysics                          ,566  ,    ,554,542,511,False,False
CK409,Industrial Physics - Offered jointly by UCC and CI,465  ,    ,432,,413,False,False
CK411,Data Science and Analytics                        ,531  ,    ,510,,509,False,False
CK412,Agricultural Science                              ,506  ,    ,496,496,457,False,False
CK504,Nutritional Sciences                              ,555  ,    554,518,,492,False,False
CK505,Food Science                                      ,463  ,    ,441,440,444,False,False
CK600,Engineering                                       ,510  ,    509,487,,465,False,False
CK606,Architecture - Offered jointly by UCC and CIT     ,543  ,    ,484,476,465,False,False
CK701,Medicine (Undergraduate Entry - HPAT required)    ,738 ,    737,731,,729,True,True
CK702,Dentistry                                         ,625 ,    625,613,613,590,False,False
CK703,Pharmacy                                          ,613 ,    613,590,589,577,False,False
CK704,Occupational Therapy                              ,601 ,    ,566,555,532,False,False
CK705,Speech and Language Therapy                       ,568  ,    566,520,,509,False,False
CK706,Public Health Sciences                            ,500  ,    ,454,,419,False,False
CK707,Medical and Health Sciences                       ,578 ,    ,542,541,510,False,False
CK710,General Nursing                                   ,498 ,    497,454,,440,False,False
CK712,Children`s and General Nursing (Integrated)       ,565  ,    ,533,,499,False,False
CK720,Mental Health Nursing                             ,455  ,    452,423,,398,False,False
CK730,Intellectual Disability Nursing                   ,431  ,    ,419,411,359,False,False
CK740,Midwifery                                         ,509 ,    ,484,,444,False,False
CK791,Medicine  - Graduate Entry (GAMSAT required)      ,60 ,    60,57,,58,True,True
AC120,International Business                            ,294  ,    294,209,,234,False,False
AC137,Liberal Arts                                      ,271  ,    270,252,,252,False,False
CT125,Computing and IT                                  ,242  ,    242,220,,235,False,False
CT325,Business                                          ,253  ,    253,338,,,False,False
CM001,Education - Primary Teaching                      ,508  ,    ,484,,452,False,False
CM002,Education - Primary Teaching - Gaeltacht Applicant,462 ,    ,,,421,True,True
CM003,Oideachas � Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,513 ,    ,528,,491,True,True
CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,480 ,    ,494,,492,True,True
CM010,Education Studies                                 ,382  ,    327,319,,317,False,False
CM020,Early Childhood Education                         ,317  ,    ,327,,336,False,False
DB500,Computing                                         ,234  ,    234,218,218,242,False,False
DB501,Computing (Cloud Computing)                       ,     ,    178,227,227,326,False,False
DB502,Computing (Data Analytics and Big Data)           ,267  ,    233,341,341,269,False,False
DB503,Computing (Software Development)                  ,     ,    ,225,225,242,False,False
DB504,Computing (Web and Mobile Technology)             ,     ,    ,,281,227,False,False
DB510,Audio Production and Music Project Management     ,217  ,    217,234,223,233,False,False
DB512,Business Studies                                  ,243  ,    210,218,203,229,False,False
DB514,Business Studies (Law)                            ,239  ,    225,252,,269,False,False
DB515,Business Studies (Human Resource Management)      ,242  ,    217,244,244,225,False,False
DB517,Marketing (Event Management)                      ,233  ,    225,238,,226,False,False
DB518,Marketing (Digital Media)                         ,307  ,    209,,,210,,False
DB521,Accounting and Finance                            ,243  ,    228,225,195,225,False,False
DB524,Business (Information Systems)                    ,247  ,    239,342,309,402,False,False
DB525,Marketing (Digital Media and Cloud Computing)     ,288  ,    288,,,284,,False
DB526,Business (Cloud Computing)                        ,244  ,    244,347,,253,False,False
DB527,Applied Social Care                               ,254  ,    219,234,260,235,False,False
DB531,Marketing                                         ,288  ,    176,293,,220,False,False
DB562,Psychology                                        ,244  ,    233,243,229,208,False,False
DB566,Social Science                                    ,262  ,    228,220,227,216,False,False
DB567,Film and Creative Media                           ,245  ,    213,218,202,192,False,False
DB568,Law                                               ,254  ,    228,219,252,245,False,False
DB569,Business (Psychology)                             ,240  ,    240,252,,279,False,False
DC001,Education - Early Childhood Education             ,445  ,    ,440,,398,False,False
DC002,Education - Primary Teaching                      ,518 ,    ,488,,462,False,False
DC003,Education - Primary Teaching - Gaeltacht Applicant,489 ,    ,445,,433,True,True
DC004,Education - Primary Teaching (Church of Ireland Ce,451 ,    ,411,409,357,True,True
DC009,Arts (Joint Honours) - Humanities                 ,356  ,    ,376,,347,False,False
DC010,Post Primary Teacher Education - Religious Educati,384  ,    ,441,429,386,False,False
DC011,Post Primary Teacher Education - Religious Educati,409  ,    ,412,391,352,False,False
DC012,Post Primary Teacher Education - Religious Educati,409  ,    ,378,,367,True,True
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413  ,    ,419,,410,False,False
DC014,BA in Jazz and Contemporary Music Performance (aud,311 ,    ,419,,428,True,True
DC110,Business Studies International                    ,498  ,    ,465,,440,False,False
DC111,Business Studies                                  ,511  ,    ,488,,463,False,False
DC112,Global Business (France)                          ,542 ,    ,517,510,495,False,False
DC113,Global Business (Germany)                         ,484  ,    ,462,,440,False,False
DC114,Global Business (Spain)                           ,544  ,    ,522,,501,False,False
DC115,Accounting and Finance                            ,544  ,    ,510,,487,False,False
DC116,Global Business (USA)                             ,613 ,    ,579,,578,False,False
DC117,Aviation Management / Aviation Management with Pil,484  ,    ,476,475,463,False,False
DC118,Gn� agus Gaeilge / Business and Irish             ,368  ,    ,359,,357,False,False
DC119,Global Business (Canada)                          ,601  ,    ,564,,566,False,False
DC120,Computing for Business                            ,403  ,    402,357,,350,False,False
DC121,Computer Science                                  ,475  ,    ,400,,370,False,False
DC123,Data Science                                      ,501  ,    ,465,,467,False,False
DC126,Actuarial Mathematics                             ,577 ,    ,560,,520,False,False
DC127,Common Entry into Actuarial and Financial Mathemat,541  ,    ,532,520,509,False,False
DC131,Communication Studies                             ,421  ,    ,407,402,400,False,False
DC132,Journalism                                        ,452  ,    ,429,422,401,False,False
DC133,Multimedia                                        ,435  ,    ,411,410,403,False,False
DC155,Applied Language and Translation Studies          ,427  ,    ,387,,371,False,False
DC161,Analytical Science                                ,498  ,    ,498,489,446,False,False
DC162,Chemical and Pharmaceutical Sciences              ,531 ,    ,521,,488,False,False
DC163,Chemical Sciences General Entry (Undenominated Ent,466 ,    ,,,,,False
DC166,Environmental Science and Technology              ,423 ,    ,433,399,412,False,False
DC168,Genetics and Cell Biology                         ,543 ,    ,512,510,489,False,False
DC175,Physics General Entry (options)                   ,400  ,    ,419,402,,False,False
DC180,Biological Sciences General Entry (Undenominated E,530  ,    ,,,,,False
DC181,Biotechnology                                     ,530  ,    ,499,495,476,False,False
DC190,Electronic and Computer Engineering (with choice o,488  ,    ,413,,391,False,False
DC193,Mechatronic Engineering                           ,490  ,    ,411,,404,False,False
DC194,Sustainable Systems and Energy                    ,476  ,    ,,,,,False
DC195,Mechanical and Manufacturing Engineering          ,500  ,    ,425,,401,False,False
DC197,Biomedical Engineering                            ,510  ,    ,423,,402,False,False
DC200,Common Entry into Engineering (Undenominated Entry,511  ,    510,422,,381,False,False
DC202,Sport Science and Health                          ,511  ,    ,500,498,467,False,False
DC203,Science Education                                 ,462  ,    ,435,,424,False,False
DC204,Athletic Therapy and Training                     ,558  ,    ,522,519,484,False,False
DC205,Physical Education with Biology                   ,565  ,    ,531,,490,False,False
DC206,Physical Education with Mathematics               ,521  ,    ,499,,443,False,False
DC207,Psychology and Mathematics                        ,521  ,    ,,,,,False
DC208,Psychology                                        ,565  ,    ,532,521,509,False,False
DC209,Health and Society                                ,477  ,    ,465,440,419,False,False
DC210,Psychology and Disruptive Technologies            ,506  ,    ,,,,,False
DC215,General Nursing                                   ,456 ,    ,454,433,414,False,False
DC216,Mental Health Nursing                             ,420  ,    ,418,403,368,False,False
DC217,Intellectual Disability Nursing                   ,382  ,    ,370,,347,False,False
DC218,Children`s and General Nursing (Integrated)       ,521 ,    ,500,498,467,False,False
DC230,Economics  Politics and Law                       ,431  ,    ,435,,400,False,False
DC231,International Relations                           ,398  ,    ,397,,387,False,False
DC232,Law and Society (BCL)                             ,469  ,    ,466,,453,False,False
DC235,Education and Training - Daytime and Flexible Deli,302  ,    ,309,,307,False,False
DC238,Social Sciences and Cultural Innovation           ,387  ,    ,377,,358,False,False
DC240,Marketing  Innovation and Technology              ,499  ,    ,476,474,451,False,False
DC241,Digital Business and Innovation                   ,509  ,    ,,,,,False
DC291,Arts (Joint Honours) - Media Studies              ,350  ,    ,376,,349,False,False
DC292,Arts (Joint Honours) - Law                        ,400  ,    ,403,,356,False,False
DC293,Arts (Joint Honours) - International Languages    ,379  ,    ,377,,369,False,False
DC294,Climate and Environmental Sustainability          ,475  ,    ,,,,,False
DC295,Arts (Joint Honours) - Politics                   ,349  ,    ,376,,348,False,False
DL822,Arts Management                                   ,254  ,    ,229,229,209,False,False
DL823,Business Management                               ,220  ,    ,235,,260,False,False
DL825,Applied Psychology                                ,418  ,    413,379,,349,False,False
DL826,Graphic Design                                    ,591 ,    ,855,,736,True,True
DL827,Art                                               ,574 ,    ,572,,583,True,True
DL832,Animation                                         ,989 ,    ,920,,855,True,True
DL833,Photography and Visual Media                      ,671 ,    671,650,,636,True,True
DL836,Creative Computing                                ,235  ,    ,219,,217,False,False
DL837,New Media Studies                                 ,298  ,    293,201,,290,False,False
DL838,Creative Music Production                         ,713 ,    ,754,,746,True,True
DL839,Interaction and User Experience Design            ,757 ,    ,683,683,,True,False
DL840,Digital Marketing                                 ,210  ,    ,228,228,,False,False
DL841,English and Equality Studies                      ,277  ,    277,276,,,False,False
DL843,Film                                              ,987 ,    874,,,,,False
DL844,Television                                        ,566 ,    ,,,,,False
DL845,Design for Film (degree options)                  ,628 ,    ,,,,,False
GC200,Business                                          ,269  ,    242,252,252,269,False,False
GC201,Accounting and Finance                            ,260  ,    226,303,303,251,False,False
GC230,Computing Science                                 ,300  ,    289,335,325,228,False,False
GC300,Business                                          ,264  ,    264,429,,251,False,False
GC301,Accounting and Finance                            ,     ,    251,253,253,307,False,False
GC302,Business - HRM                                    ,377  ,    377,,,269,False,False
GC307,Business (Marketing)                              ,289  ,    270,,,,,False
GC400,Business                                          ,250  ,    228,248,248,246,False,False
GC401,Accounting and Finance                            ,242  ,    242,240,227,181,False,False
GC402,Business (HRM)                                    ,     ,    ,264,236,217,False,False
GC403,Law                                               ,245  ,    242,244,228,225,False,False
GC407,Business (Marketing)                              ,264  ,    264,280,280,246,False,False
GC430,Computing Science                                 ,251  ,    251,252,220,217,False,False
GC450,Communications and Media Production               ,225  ,    225,254,254,227,False,False
GC462,Design Communication (portfolio)                  ,300 ,    ,,,,True,False
GC489,Interior Architecture (portfolio)                 ,288 ,    274,254,,267,True,True
GC494,Fashion Design (portfolio)                        ,351 ,    ,337,217,,True,True
BY001,Business                                          ,210  ,    210,,,,,False
ID001,Accounting and Finance                            ,     ,    ,203,,229,False,False
ID002,Business Studies                                  ,     ,    ,294,,285,False,False
AD101,First Year Art and Design (Common Entry portfolio),554 ,    ,,,,True,True
AD102,Graphic Design and Moving Image Design (portfolio),538 ,    ,,,,True,True
AD103,Textile and Surface Design and Jewellery and Objec,505 ,    ,,,,True,True
AD202,Education and Design or Fine Art (Second Level Tea,591 ,    ,,,,True,True
AD204,Fine Art (portfolio)                              ,514 ,    ,,,,True,True
AD211,Fashion Design (portfolio)                        ,760 ,    679,,,,True,True
AD212,Product Design (portfolio)                        ,413 ,    ,,,,True,True
AD215,Visual Culture                                    ,337  ,    300,377,320,300,False,False
AD217,Illustration (portfolio)                          ,738 ,    ,,,,True,True
AD222,Interaction Design (portfolio)                    ,444 ,    ,,,,True,True
NC003,Computing (Degree Award options)                  ,271  ,    ,260,,261,False,False
NC005,Human Resource Management                         ,301  ,    ,300,,297,False,False
NC009,Business                                          ,300  ,    ,300,,297,False,False
NC010,Psychology                                        ,420  ,    ,400,,366,False,False
NC020,Marketing Practice                                ,270  ,    ,280,,270,False,False
NC022,Accounting and Finance                            ,330  ,    ,337,,338,False,False
NC023,Technology Management (with specialisations)      ,266  ,    ,261,,260,False,False
NC030,Early Childhood Education and Care                ,251  ,    251,,,,,False
RC001,Medicine - Undergraduate Entry (HPAT required)    ,741 ,    740,733,,729,True,True
RC004,Physiotherapy                                     ,589 ,    589,566,,532,False,False
RC005,Pharmacy                                          ,613 ,    613,579,,555,False,False
RC101,Medicine - Graduate Entry (GAMSAT required)       ,     ,    ,,,60,True,True
NM801,Montessori Education                              ,262  ,    ,220,,,False,False
NM802,Psychology                                        ,228  ,    ,,,,,False
TU801,Sustainable Energy Engineering                    ,235  ,    ,235,,,False,False
TU802,Electrical Services and Energy Management         ,309  ,    ,317,300,,False,False
TU804,Engineering (Common Entry with Award options)     ,270  ,    ,271,,,False,False
TU805,Engineering (General Entry)                       ,466  ,    465,402,,,False,False
TU807,Computer Engineering in Mobile Systems            ,274  ,    ,276,,,False,False
TU810,Mechatronic Engineering                           ,271  ,    ,270,,,False,False
TU811,Product Design                                    ,440  ,    434,411,,,False,False
TU812,Design Technology and Innovation                  ,278  ,    ,270,,,False,False
TU814,Sustainable Transport Management                  ,253  ,    253,285,251,,False,False
TU828,Mechanical Engineering (General Entry)            ,300  ,    ,,,,,False
TU829,Electronic Engineering (General Entry)            ,248  ,    248,,,,,False
TU831,Architectural Technology                          ,423  ,    ,410,,,False,False
TU832,Architecture (Suitability Test and Interview)     ,644 ,    638,622,,,True,False
TU833,Construction Management                           ,396  ,    ,367,,,False,False
TU834,Geographic Science                                ,315  ,    ,288,,,False,False
TU835,Planning and Environmental Management             ,330  ,    ,313,,,False,False
TU836,Property Economics (Valuation Surveying)          ,411  ,    ,401,,,False,False
TU837,Quantity Surveying and Construction Economics     ,413  ,    ,385,,,False,False
TU838,Sustainable Timber Technology                     ,307  ,    271,,,,,False
TU851,Analytical Chemistry (Environmental  Forensic and ,400  ,    ,349,,,False,False
TU852,Chemical Sciences with Medicinal Chemistry        ,477  ,    ,476,,,False,False
TU854,Science (General Entry)                           ,510  ,    ,476,,,False,False
TU855,Science with Nanotechnology                       ,322  ,    ,331,319,,False,False
TU856,Computer Science                                  ,499  ,    ,476,,,False,False
TU857,Computer Science (Infrastructure)                 ,403  ,    ,391,,,False,False
TU858,Computer Science (International)                  ,395  ,    ,377,,,False,False
TU859,Computing                                         ,251  ,    ,217,234,,False,False
TU860,Computing (Information Technology)                ,270  ,    ,260,,,False,False
TU861,Computing with Language (French/German/Spanish)   ,235  ,    235,308,308,,False,False
TU862,Computing with Artificial Intelligence Machine Lea,262  ,    ,226,226,,False,False
TU863,Digital Forensics and Cyber Security              ,282  ,    ,280,,,False,False
TU864,DNA and Forensic Analysis                         ,500  ,    441,400,390,,False,False
TU865,Cloud Computing                                   ,235  ,    ,226,,,False,False
TU866,Biomedical and Molecular Diagnostics              ,522  ,    ,487,,,False,False
TU867,Biomedical Science                                ,576  ,    566,524,,,False,False
TU868,Clinical Measurement Science                      ,542  ,    ,510,,,False,False
TU869,Environmental Health                              ,387  ,    ,336,,,False,False
TU870,Human Nutrition and Dietetics                     ,601 ,    ,578,,,False,False
TU871,Optometry                                         ,532  ,    ,509,,,False,False
TU872,Public Health Nutrition                           ,487  ,    ,491,,,False,False
TU874,Mathematical Sciences                             ,294  ,    294,341,,,False,False
TU875,Pharmaceutical Healthcare                         ,451  ,    ,400,,,False,False
TU876,Pharmaceutical Science                            ,445  ,    ,377,349,,False,False
TU877,Physics Technology                                ,314  ,    314,308,,,False,False
TU878,Physics with Energy and Environment               ,339  ,    ,337,337,,False,False
TU879,Physics with Medical Physics and Bioengineering   ,346  ,    ,351,,,False,False
TU880,Physics with Data Science                         ,412  ,    ,578,,,False,False
TU881,Food Innovation                                   ,309  ,    ,318,,,False,False
TU882,Nutraceuticals in Health and Nutrition            ,380  ,    ,397,,,False,False
TU902,Business (options)                                ,270  ,    ,271,,,False,False
TU903,Business and Management                           ,477  ,    ,463,,,False,False
TU904,Business and Law                                  ,462  ,    ,462,,,False,False
TU905,Economics and Finance                             ,460  ,    ,465,,,False,False
TU906,Human Resource Management                         ,386  ,    377,395,,,False,False
TU907,Logistics and Supply Chain Management             ,300  ,    ,300,,,False,False
TU910,Accounting                                        ,420  ,    ,444,,,False,False
TU912,Business Analytics                                ,331  ,    311,330,,,False,False
TU914,Business Computing                                ,322  ,    ,324,,,False,False
TU917,Law (LLB ) with a Language                        ,356  ,    ,342,,,False,False
TU918,Law (LLB)                                         ,463  ,    ,451,,,False,False
TU919,Advertising and Marketing Communications          ,219  ,    ,228,226,,False,False
TU920,Digital Marketing                                 ,270  ,    ,270,,,False,False
TU921,Digital Marketing Technologies                    ,230  ,    ,212,212,,False,False
TU922,Marketing                                         ,412  ,    ,418,,,False,False
TU924,E-Commerce in Retailing                           ,307  ,    ,307,,,False,False
TU925,Retail and Services Management                    ,307  ,    ,301,,,False,False
TU932,Business (options)                                ,211  ,    ,,,,,False
TU933,Accounting and Finance (campus options)           ,251  ,    ,,,,,False
TU935,Sports Management and Coaching                    ,300  ,    ,300,,,False,False
TU936,Sports Science and Health                         ,484  ,    ,410,391,,False,False
TU941,Botanical Cuisine                                 ,311  ,    ,249,,,False,False
TU942,Culinary Arts                                     ,252  ,    ,212,212,,False,False
TU943,Culinary Entrepreneurship                         ,261  ,    ,278,,,False,False
TU944,Culinary Science                                  ,336  ,    ,316,,,False,False
TU951,International Hospitality and Tourism Management  ,244  ,    ,184,184,,False,False
TU952,International Hospitality Management              ,309  ,    ,300,,,False,False
