,Course Code,Course Name,2020 Round 1,2020 Round 2
672,GY207,Commerce (Accounting) including optional Global Experience year,509,
673,GY208,Commerce (Gaeilge),473,
674,GY209,Commerce (Global Experience),530,
675,GY250,Law and Business,487,
676,GY251,Law (BCL),499,
677,GY252,Law (BCL) and Human Rights,520,
678,GY253,Law and Taxation,509,
679,GY254,"Law (BCL), Criminology and Criminal Justice",530,
680,GY261,"Business Studies (International Hotel Management, interview)",497,
681,GY262,"Commerce (International Hotel Management, interview)",681,
682,GY301,Science,433,432
683,GY303,Biomedical Science,556,
684,GY304,Biotechnology,465,
685,GY308,Environmental Science,408,
686,GY309,Financial Mathematics and Economics,487,
687,GY310,Marine Science,419,
688,GY313,Environmental Health and Safety,412,
689,GY314,Earth and Ocean Sciences,403,
690,GY318,Biopharmaceutical Chemistry,509,
691,GY319,Mathematical Science,476,
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,
693,GY321,Genetics and Genomics,508,
694,GY350,Computer Science and Information Technology,403,
695,GY401,Engineering (Undenominated),465,
696,GY402,Civil Engineering,455,
697,GY405,Mechanical Engineering,454,
698,GY406,Electronic and Computer Engineering,510,
699,GY408,Biomedical Engineering,509,
700,GY410,Project and Construction Management,403,
701,GY413,Energy Systems Engineering,502,
702,GY414,Electrical and Electronic Engineering,405,
703,GY501,"Medicine (five year/six year course, HPAT required)",728,
704,GY502,Occupational Therapy,555,
705,GY503,Speech and Language Therapy,543,
706,GY504,Podiatric Medicine,443,
707,GY515,General Nursing (Galway and Portiuncula),476,473
708,GY516,Mental Health Nursing,440,
709,GY517,Midwifery,495,
710,ID001,Accounting and Finance,203,
711,ID002,Business Studies,294,
712,LC110,"Art and Design (Common Entry, portfolio)",740,
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880,
714,LC115,Art and Design Teacher Education (portfolio),942,
715,LC220,Digital Marketing,262,
716,LC221,Accounting and Finance,241,
717,LC222,Marketing and Management,270,
718,LC223,Law and Taxation,307,
719,LC224,Accounting and Finance,300,
720,LC225,Marketing and Management,298,
721,LC226,Enterprise and Innovation,234,234
722,LC228,Sports Development and Coaching,205,
723,LC230,Business with Computing,217,
724,LC233,Software Development,272,
725,LC234,Interactive Digital Media,225,
726,LC235,Internet Systems Development,205,
727,LC236,Internet Systems Development,262,260
728,LC239,Computer Networks and Systems Management,307,
729,LC241,Construction Management,255,
730,LC242,Property Valuation and Management,282,
731,LC243,Quantity Surveying,294,
732,LC248,Built Environment (Common Entry),288,
733,LC251,Civil Engineering,206,
734,LC252,Civil Engineering Management,270,
735,LC257,Interior Design,264,
736,LC260,Applied Biology,326,
737,LC263,Clinical Technology,294,
738,LC265,Forensic and Pharmaceutical Sciences,413,
739,LC266,Drug and Medicinal Product Analysis,262,
740,LC267,Forensic and Pharmaceutical Sciences,329,
741,LC268,Medical Technology,289,
742,LC270,Music Technology and Production,307,
743,LC271,Electrical Engineering,261,
744,LC275,Electrical Engineering,298,
745,LC276,Creative Broadcast and Film Production,297,
746,LC277,Industrial Automation and Robotic Systems,232,
747,LC278,Renewable and Electrical Energy Engineering,280,
748,LC279,Electronic Engineering,214,
749,LC281,Automobile Technology,208,
750,LC283,Precision Engineering,227,
751,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",200,
752,LC285,Mechanical Engineering,272,
753,LC286,Road Transport Technology and Management,264,
754,LC288,Mechanical Engineering,347,346
755,LC289,Precision Engineering,291,
756,LC290,Community Sport Development,188,
757,LC292,Social Care Work,367,
758,LC293,Business Studies with Travel and Tourism Management,307,
759,LC294,Business Studies with Event Management,279,
760,LC295,Business Studies with Sports Management,252,
761,LC297,Community Development,235,
762,LC320,Business,346,
763,LC330,Business with Computing,297,
764,LC336,Computing,207,
765,LC340,Interior Design,350,
766,LC362,Biotechnology and Biopharmaceutical Sciences,413,
767,LC371,Creative Broadcast and Film Production,309,
768,LC372,Music Technology and Production,325,
769,LC374,Renewable and Electrical Energy Engineering,318,
770,LC375,Industrial Automation and Robotic Systems,317,
771,LC376,Electronic Engineering,318,
772,LC380,Automotive Engineering and Transport Management,303,298
773,LC392,Business Studies in Beauty and Spa Management,236,
774,LC393,Early Childhood Education and Care,236,
775,LC398,Culinary Arts,163,
776,LC399,Hospitality Supervision,148,
777,LC401,Early Childhood Education and Care,297,
778,LC402,Social Care Work,225,
779,LC408,Environmental Science and Climate,279,
780,LC414,Data Analytics and Cyber Security,236,
781,LC415,Business,197,
782,LC416,Business,274,
783,LC418,Computing - Games Design and Development,270,
784,LC422,Sports Strength and Conditioning,298,
785,LC423,Sports Strength and Conditioning,157,
786,LC425,Environmental Science,278,
787,LC428,Environmental Science and Agriculture,278,
788,LC432,Early Childhood Education and Care,144,
789,LC434,Environmental Science and Agriculture,297,
790,LC502,Game Art and Design (portfolio),852,
791,LC504,Creative Media and Design,192,
792,LC517,Creative Media and Design,234,
793,LC518,Digital Animation Production (portfolio),808,
794,LC602,Social Care Work,260,
795,LC603,Early Childhood Education and Care,147,
796,LC605,Business,195,
797,LC612,Social Care Work,320,
798,LC613,Early Childhood Education and Care,242,
799,LM002,Arts,348,
800,LM020,Law and Accounting,465,
801,LM026,Performing Arts (audition required),303,
802,LM028,Criminal Justice,418,
803,LM029,Law Plus,490,
804,LM038,Psychology and Sociology,500,
805,LM039,Journalism and Digital Communication,402,
806,LM040,European Studies,369,
807,LM044,Applied Languages,442,
808,LM050,Business Studies (options),431,
809,LM056,International Business,528,
810,LM058,Financial Mathematics,403,
811,LM063,Technology Management,379,
812,LM068,Food Science and Health,421,
813,LM076,Product Design and Technology (portfolio required),408,
814,LM077,Aeronautical Engineering,520,
815,LM082,Construction Management and Engineering,398,
816,LM089,Sport and Exercise Sciences,474,
817,LM090,Physical Education with concurrent Teacher Education,532,
818,LM091,Languages with concurrent Teacher Education,517,
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,
820,LM093,Equine Science,339,
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,440,
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,367,
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,402,
825,LM099,Architecture (portfolio requirement suspended),498,
826,LM100,Physiotherapy,589,
827,LM101,Medicine  - Graduate Entry (GAMSAT required),55,
828,LM102,Psychology,509,
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,
830,LM115,Chemical and Biochemical Engineering,454,
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,
832,LM118,Electronic and Computer Engineering,403,
833,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,
834,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,
835,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,
836,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,
837,LM125,Physics (Applied Physics or Mathematics & Physics),404,
838,LM150,General Nursing,475,
839,LM152,Mental Health Nursing,419,
840,LM154,Intellectual Disability Nursing,420,
841,LM156,Midwifery,469,
842,LM180,Equine Science,337,
843,LY107,Business - Common Entry,161,161
844,LY108,Business - Accounting,309,
845,LY118,Business,290,
846,LY206,Sports Studies,149,148
847,LY207,Law with Criminal Justice,160,160
848,LY208,Law,300,
849,LY228,Sports and Exercise - Common Entry,300,
850,LY317,Culinary Arts,229,224
851,LY327,Hospitality And Tourism - Common Entry,170,170
852,LY408,Design - Common Entry,320,
853,LY427,Digital Film and Video,172,170
854,LY437,Animation,198,223
855,LY447,Fashion with Promotion,266,279
856,LY457,Graphic and Digital Design,179,204
857,LY507,Quantity Surveying,181,181
858,LY508,Fire Safety Engineering,276,
859,LY518,Quantity Surveying,301,
860,LY527,Civil Engineering,165,163
861,LY528,Construction Management,271,
862,LY607,Electronic Engineering,160,
863,LY608,Mechanical Engineering,300,
864,LY617,Mechanical Engineering,180,180
865,LY618,Electronic Engineering,312,
866,LY707,Computer Games Development,204,
867,LY708,Applied Computing,306,
868,LY717,Computing,164,160
869,LY737,Computer Security and Digital Forensics,169,169
870,LY748,Computer Science,317,317
871,LY806,Pharmacy Technician,232,
872,LY816,Dental Nursing,233,223
873,LY817,Bioscience,248,
874,LY818,Science - Common Entry,303,
875,LY826,Health Science with Physiotherapy Studies,456,401
876,LY828,Agriculture - Common Entry,307,
877,LY836,Health Science with Occupational Therapy Studies,473,408
878,LY837,Food Science and Nutrition,194,194
879,LY846,Health Science with Dietetics Studies,316,316
880,LY847,Veterinary Nursing,367,367
881,LY867,Pharmaceutical & Medicinal Science,163,163
882,LY877,Agriculture,202,181
883,LY906,"Early Childhood Care, Health and Education",205,161
884,LY908,General Nursing,400,
885,LY916,Health and Social Care,181,
886,LY918,Psychiatric Nursing,357,
887,LY928,Intellectual Disability Nursing,326,
888,LY968,"Early Childhood Care, Health and Education",303,
889,LY978,Health & Social Care - Common Entry,280,
890,MH001,Education - Primary Teaching (Froebel),507,
891,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,
892,MH101,Arts,318,
893,MH103,Music,#,
894,MH106,Psychology - 3 years,521,
895,MH107,Social Science,346,
896,MH109,Media Studies,316,
897,MH116,Community and Youth Work (Full-Time),#,
898,MH201,Science,360,
899,MH202,Biotechnology,455,
900,MH203,Biological and Geographical Sciences,430,
901,MH204,Physics with Astrophysics,422,
902,MH206,Theoretical Physics and Mathematics,510,
903,MH207,Data Science,445,
904,MH208,Biological and Biomedical Sciences,498,
905,MH209,Psychology (through Science) - 4 years,498,
906,MH210,Pharmaceutical and Biomedical Chemistry,487,
907,MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,
908,MH304,Engineering (Computer/Electronic/Communications),333,333
909,MH305,Product Design,357,
910,MH306,Robotics and Intelligent Devices,361,
911,MH401,Finance (options),357,
912,MH402,Quantitative Finance,476,
913,MH403,Accounting and Finance,422,
914,MH404,Business (options),430,
915,MH405,Equine Business,357,
916,MH407,Business and Accounting,420,
917,MH411,Entrepreneurship,371,
918,MH501,LLB Law - four year Single Major Law programme,473,
919,MH502,Law (options),451,
920,MH601,Computer Science through Arts (options),352,
921,MH602,Computer Science through Science (options),351,
922,MH603,Computational Thinking,532,
923,MH801,Early Childhood - Teaching and Learning (part-time),327,
924,MH802,"Community and Youth Work (part-time, in service)",#,#
925,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",#,#
926,MI001,Contemporary & Applied Theatre Studies,375,
927,MI002,Arts,300,281
928,MI004,Education - Primary Teaching - International,577,
929,MI005,Education - Primary Teaching,495,
930,MI006,Education - Primary Teaching - Gaeltacht Applicants,456,
931,MI007,Early Childhood Care and Education,357,
932,MI008,Education and Psychology - Primary Teaching,588,
933,MI009,"Education, Business Studies and Accounting",402,
934,MI010,"Education, Business Studies and Religious Studies",368,
935,MI011,"Education, Gaeilge and Religious Studies",409,
936,MI012,"Education, Gaeilge and Business Studies",401,
937,MI013,"Education, Mathematics and Gaeilge",444,
938,MI014,"Education, Mathematics and Business Studies",434,
939,MU001,Theology and Arts,290,290
940,MU002,Theology,440,
941,NC003,Computing (Degree Award options),260,
942,NC005,Human Resource Management,300,
943,NC009,Business,300,
944,NC010,Psychology,400,
945,NC020,Marketing Practice,280,
946,NC022,Accounting and Finance,337,
947,NC023,Technology Management (with specialisations),261,
948,NC102,Computing,220,
949,NC103,Business,250,
950,NC104,Business Computing,243,
951,NM701,Montessori Education,187,
952,NM801,Montessori Education,220,
953,PC402,Arts and Humanities,200,121
954,PC404,Applied Social Studies - Professional Social Care,217,197
955,PC405,"Social, Political and Community Studies",253,216
956,PC410,Arts and Humanities (fulfils Teaching Council requirements),252,209
957,PC411,English and History (fulfils Teaching Council requirements),255,209
958,RC001,Medicine - Undergraduate Entry (HPAT required),733,
959,RC004,Physiotherapy,566,
960,RC005,Pharmacy,579,
961,RC101,Medicine - Graduate Entry (GAMSAT required),,
962,SG101,Business,160,160
963,SG102,Computing (Level 6 - General Entry),254,
964,SG131,Computing - Games Development,280,
965,SG134,Applied Sport with Business,215,
966,SG135,Business in Tourism with Event Management,187,
967,SG136,Computing - Software Development,272,
968,SG137,Computing (Computer Networks and Cloud Infrastructure),324,
969,SG138,Computing (Level 7 - General Entry),260,
970,SG141,Business,261,
971,SG142,Business in International Marketing and Languages (French),279,
972,SG144,Business in International Marketing and Languages (Spanish),270,
973,SG146,Accounting,309,
974,SG147,Sport with Business,307,
975,SG148,Tourism with Event Management,269,
976,SG231,Fine Art,449,449
977,SG232,Creative Design,273,
978,SG235,Performing Arts (Theatre Design),319,
979,SG236,Performing Arts (Acting),235,
980,SG241,Performing Arts,328,
981,SG242,Early Childhood Care and Education,279,
982,SG243,Social Care Practice,301,
983,SG244,Fine Art,505,
984,SG245,Creative Design,282,
985,SG246,Computing,290,
986,SG247,English and Psychology,309,
987,SG248,Sociology and Politics,281,
988,SG249,Writing and Literature,297,
989,SG250,Application Design and User Experience,412,
990,SG251,Computing (Smart Technologies),327,
991,SG252,Software Development,307,
992,SG253,Computer Networks and Cloud Infrastructure,324,
993,SG254,Writing and Literature Online,225,225
994,SG300,Engineering (General Entry),209,
995,SG302,Construction Economics,184,
996,SG308,Applied Construction Technology,171,
997,SG330,Engineering (General Entry),243,
998,SG331,Interior Architecture and Design,236,
999,SG332,Advanced Wood and Sustainable Building Technology,208,
1000,SG333,Mechanical Engineering,216,
1001,SG334,Mechatronic Engineering,290,
1002,SG336,Precision Engineering and Design,309,
1003,SG338,Civil Engineering,245,
1004,SG339,Quantity Surveying,195,
1005,SG342,Civil Engineering,415,
1006,SG343,Quantity Surveying,311,
1007,SG346,Construction Project Management and Applied Technology,291,
1008,SG347,Architecture,360,
1009,SG348,Interior Architecture and Design,316,
1010,SG401,Science,209,209
1011,SG404,Environmental Science with Ecology (Level 6),264,264
1012,SG406,Health and Exercise Science,367,
1013,SG431,Pharmaceutical Science with Drug Development,269,
1014,SG433,Occupational Safety and Health,223,
1015,SG434,Human Nutrition,280,
1016,SG435,Health Science and Physiology,289,
1017,SG436,Biomedical Science,262,
1018,SG437,Forensic Investigation and Analysis,243,
1019,SG439,Environmental Science with Ecology (Level 7),254,
1020,SG442,Occupational Safety and Health,290,
1021,SG443,Human Nutrition,356,
1022,SG444,Science Undenominated,338,
1023,SG445,Pharmaceutical Science with Drug Development,311,
1024,SG447,Health Science and Physical Activity,328,
1025,SG448,Forensic Investigation and Analysis,306,
1026,SG449,Medical Biotechnology,341,
1027,SG450,Environmental Science with Ecology (Level 8),300,
1028,SG530,Health and Medical Information Science (Online),285,285
1029,SG535,Business Administration,228,
1030,SG536,Business,223,
1031,SG537,Marketing and Sales,234,
1032,TL620,Culinary Arts,189,189
1033,TL651,Science (Biological and Environmental Studies),223,223
1034,TL652,Pharmacy Technician,260,
1035,TL701,"Animation, Visual Effects and Motion Design (Level 7)",228,
1036,TL702,"TV, Radio and New Media (Level 7)",243,
1037,TL710,Computing with Software Development,232,
1038,TL711,Computing with Games Development,224,
1039,TL715,Computing (Degree Award options),251,
1040,TL716,Computer Systems and Networking,269,
1041,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),219,
1042,TL743,Agricultural Mechanisation,,
1043,TL744,Agricultural Engineering,243,
1044,TL745,Civil and Environmental Engineering,261,261
1045,TL747,Engineering in Mechanical and Manufacturing Engineering,200,
1046,TL748,Agricultural Science,249,
1047,TL755,Pharmaceutical Science (Degree Award options),261,
1048,TL758,Animal Bioscience,251,
1049,TL771,Health and Leisure (Degree Award Options),208,
1050,TL772,Health and Leisure with Massage,218,
1051,TL773,Coaching and Sports Performance,106,106
1052,TL780,Early Childhood Care and Education,234,
1053,TL781,Social Care,225,
1054,TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,
1055,TL802,"TV, Radio and New Media (Level 8)",325,
1056,TL810,Computing with Software Development,310,
1057,TL811,Computing with Games Development,358,
1058,TL815,Computing (Degree Award options),308,
1059,TL823,Event Management (3 year programme),299,
1060,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,
1061,TL844,Agricultural Engineering,300,
1062,TL845,Civil Engineering,325,
1063,TL847,Manufacturing Engineering,302,
1064,TL848,Agricultural Science,308,
1065,TL851,Wildlife Biology (Degree Award options),309,
1066,TL855,Pharmaceutical Science (Degree Award options),317,
1067,TL858,Veterinary Bioscience,308,
1068,TL871,Health and Leisure (Degree Award options),300,
1069,TL872,Health and Leisure with Massage,309,
1070,TL873,Coaching and Sports Performance,289,
1071,TL880,Early Childhood Care and Education,307,
1072,TL881,Social Care,308,
1073,TL889,Counselling with Addiction - Mature applicants only,,
1074,TL890,General Nursing and Mature Applicants,440,414
1075,TL891,Mental Health Nursing and Mature Applicants,389,378
1076,TR002,Music,435,429
1077,TR003,History,497,493
1078,TR004,Law,566,565
1079,TR005,Philosophy,442,
1080,TR006,Psychology,567,555
1081,TR007,Clinical Speech and Language Studies,529,
1082,TR009,Music Education,420,
1083,TR012,History and Political Science,555,554
1084,TR015,"Philosophy, Political Science, Economics and Sociology",589,
1085,TR016,Deaf Studies,340,
1086,TR017,Law and Business,602,
1087,TR018,Law and French,565,
1088,TR019,Law and German,543,542
1089,TR020,Law and Political Science,602,
1090,TR021,"Classics, Ancient History and Archaeology",370,
1091,TR022,Early and Modern Irish,398,
1092,TR023,English Studies,487,476
1093,TR024,European Studies,544,542
1094,TR025,Drama and Theatre Studies,564,530
1095,TR028,Ancient and Medieval History and Culture,342,
1096,TR029,Political Science and Geography,526,520
1097,TR031,Mathematics,531,
1098,TR032,Engineering,510,509
1099,TR033,Computer Science,509,
1100,TR034,Management Science and Information Systems Studies,613,
1101,TR035,Theoretical Physics,543,
1102,TR038,Engineering with Management,532,
1103,TR039,Computer Science and Language,454,424
1104,TR040,Middle Eastern and European Languages and Cultures,466,
1105,TR041,Religion,368,
1106,TR042,Film,489,476
1107,TR043,History of Art and Architecture,393,354
1108,TR051,Medicine (HPAT required),735,734
1109,TR052,Dental Science,613,613
1110,TR053,Physiotherapy,566,566
1111,TR054,Occupational Therapy,533,
1112,TR055,Radiation Therapy,543,
1113,TR056,Human Health and Disease,565,
1114,TR060,Biological and Biomedical Sciences,543,543
1115,TR061,Chemical Sciences,517,510
1116,TR062,Geography and Geoscience,473,
1117,TR063,Physical Sciences,498,498
1118,TR072,Pharmacy,590,
1119,TR080,Global Business,589,
1120,TR081,"Business, Economic and Social Studies (BESS)",543,543
1121,TR082,Computer Science and Business,555,
1122,TR083,Sociology and Social Policy,498,487
1123,TR084,Social Studies (Social Work),462,
1124,TR085,Business Studies and French,540,531
1125,TR086,Business Studies and German,509,499
1126,TR087,Business Studies and Russian,474,465
1127,TR089,Business Studies and Polish,444,424
1128,TR090,Business Studies and Spanish,531,
1129,TR091,General Nursing (Meath and St James`s),429,
1130,TR093,General Nursing (Adelaide School of Nursing),430,429
1131,TR095,Mental Health Nursing,408,
1132,TR097,Intellectual Disability Nursing,396,
1133,TR111,Ancient History and Archaeology/Geography,352,
1134,TR112,Ancient History and Archaeology/History,529,
1135,TR113,Ancient History and Archaeology/History of Art and Architecture,337,
1136,TR114,Ancient History and Archaeology/Modern Language,337,
1137,TR117,Ancient History and Archaeology/Religion,342,
1138,TR166,Classical Civilisation/English Literature,498,496
1139,TR173,Classical Civilisation/History of Art and Architecture,335,
1140,TR177,Classical Civilisation/Modern Language,335,
1141,TR179,Classical Civilisation/Philosophy,499,
1142,TR198,Economics/Geography,534,
1143,TR202,Economics/History,534,
1144,TR207,Economics/Mathematics,566,
1145,TR208,Economics/Modern Language,534,
1146,TR209,Economics/Philosophy,534,
1147,TR212,Economics/Sociology,534,
1148,TR228,Classical Languages/English Literature,498,
1149,TR231,Classical Languages/History of Art and Architecture,349,
1150,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,
1151,TR239,Classical Languages/Modern Language,349,
1152,TR262,English Literature/History,529,
1153,TR263,English Literature/History of Art and Architecture,498,497
1154,TR269,English Literature/Philosophy,499,
1155,TR272,English Literature/Sociology,498,
1156,TR276,English Literature/Drama Studies,#498,
1157,TR277,English Literature/Modern Language,498,495
1158,TR311,Film/Drama Studies,#521,
1159,TR312,Film/English Literature,521,
1160,TR320,Film/Music,521,
1161,TR322,Geography/History,529,
1162,TR323,Drama Studies/Modern Language,#473,
1163,TR324,Film/Modern Language,521,
1164,TR325,Film/History,529,
1165,TR326,Geography/Modern Language,352,
1166,TR332,Geography/Sociology,498,496
1167,TR443,History/History of Art and Architecture,529,
1168,TR447,History/Modern Language,529,
1169,TR449,History/Philosophy,529,
1170,TR452,History/Sociology,529,
1171,TR454,History/Religion,529,
1172,TR455,History of Art and Architecture/Modern Language,334,
1173,TR479,History of Art and Architecture/Philosophy,499,
1174,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,
1175,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,
1176,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,
1177,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,
1178,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,
1179,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,
1180,TR597,Mathematics/Modern Language,566,
1181,TR598,Mathematics/Music,566,
1182,TR599,Mathematics/Philosophy,566,
1183,TR629,Music/Philosophy,499,
1184,TR635,Music/Drama Studies,#473,
1185,TR636,Music/Modern Language,388,
1186,TR638,Music/Religion,388,
1187,TR639,Philosophy/Modern Language,499,
1188,TR662,Philosophy/Sociology,499,
1189,TR663,Religion/Classical Civilisation,342,
1190,TR664,Religion/English Literature,498,
1191,TR665,Religion/History of Art and Architecture,342,
1192,TR666,Religion/Modern Language,,
1193,TR667,French/Modern Language,403,
1194,TR668,German/Modern Language,389,
1195,TR669,Irish/Modern Language,368,
1196,TR670,Italian/Modern Language,381,
1197,TR671,Russian/Modern Language,332,
1198,TR672,Spanish/Modern Language,336,
1199,TR755,Sociology/Drama Studies,#498,
1200,TR756,Sociology/Modern Language,498,495
1201,TR801,Dental Nursing,436,419
1202,TR802,Dental Hygiene,#543,#511
1203,TR803,Dental Technology,#531,#486
1204,TR911,Children`s and General Nursing (Integrated),511,510
1205,TR913,Midwifery,478,477
1206,TU601,Electronic Engineering,232,
1207,TU602,Computer Engineering,223,
1208,TU603,Mechanical Engineering,197,197
1209,TU641,Bar and Restaurant Management,223,
1210,TU642,Culinary Arts,153,
1211,TU643,Culinary Arts (Professional Cookery Practice),236,
1212,TU644,Food Management and Entrepreneurship,223,
1213,TU645,Food Science and Management,241,
1214,TU651,Applied Biology,205,196
1215,TU652,Computing,194,
1216,TU653,Computing (Information Technology),245,
1217,TU654,Pharmacy Technician Studies,321,
1218,TU655,Computing (Networking Technologies) Learn and Work,410,335
1219,TU671,Business,226,
1220,TU672,Business (Common entry),180,179
1221,TU673,Business Management,300,
1222,TU674,Business Studies,300,
1223,TU675,Marketing,301,
1224,TU676,Retail Management and Marketing,290,
1225,TU701,Automation Engineering,260,
1226,TU702,Biomedical Design,232,232
1227,TU703,Building Engineering,260,
1228,TU704,Civil Engineering,262,
1229,TU705,Electrical and Control Engineering,243,
1230,TU706,Electrical Services Engineering,244,
1231,TU707,Electronic Engineering,224,224
1232,TU708,Engineering (Common Entry with Award options),225,
1233,TU709,Engineering (General Entry),370,
1234,TU710,Engineering Reliability Management,244,
1235,TU711,Mechatronic Engineering,223,
1236,TU712,Sustainable Energy and Environmental Engineering,180,180
1237,TU713,Computer Engineering,221,
1238,TU714,Electronics and Communications Engineering,264,
1239,TU715,Engineering Software,181,181
1240,TU716,Networking Technology,241,
1241,TU717,Mechanical Engineering,300,
1242,TU718,Mechanical Engineering,198,198
1243,TU719,"Design,Technology and Innovation",228,
1244,TU720,Automotive Management and Technology,232,
1245,TU721,Aviation Technology,350,
1246,TU722,Process Instrumentation and Automation Learn and Work,292,292
1247,TU731,"Auctioneering, Valuation and Estate Agency",290,
1248,TU732,Timber Product Technology,253,198
1249,TU735,Sports Management and Coaching,270,
1250,TU736,Sports Science and Health,410,391
1251,TU741,Baking and Pastry Arts Management,234,
1252,TU742,Culinary Arts,155,155
1253,TU745,Hospitality Management,245,
1254,TU746,International Hospitality and Tourism Management,170,170
1255,TU747,Tourism Management,242,
1256,TU751,Biosciences,407,
1257,TU752,DNA and Forensic Analysis,390,
1258,TU754,Industrial and Environmental Physics,270,
1259,TU755,Science (General Entry),361,
1260,TU756,Computing,200,195
1261,TU757,Computing (Information Technology),225,
1262,TU758,Digital Forensics and Cyber Security,220,
1263,TU759,Information Technology Management,211,
1264,TU760,Bioanalysis,204,204
1265,TU761,Ophthalmic Dispensing,302,
1266,TU762,Medicinal Chemistry and Pharmaceutical Sciences,364,
1267,TU763,Pharmaceutical Science,382,349
1268,TU771,Business,224,
1269,TU772,Business (Common Entry with Award options),AQA,227
1270,TU774,Management,195,209
1271,TU775,Accounting and Finance,260,
1272,TU776,Accounting and Finance,182,175
1273,TU777,Business and Information Technology,244,
1274,TU778,International Business,224,
1275,TU779,International Business,180,180
1276,TU780,Advertising and Marketing Communications,179,179
1277,TU781,Digital Marketing,220,
1278,TU782,Digital Marketing,179,179
1279,TU783,Marketing,189,189
1280,TU791,Applied Social Studies in Social Care,320,
1281,TU792,Community and Youth Development,101,250
1282,TU793,Early Childhood Care and Education,220,
1283,TU794,Early Childhood Care and Education,390,250
1284,TU795,Visual Merchandising and Display,481,
1285,TU796,Creative Digital Media,225,
1286,TU801,Biomedical Design,235,
1287,TU802,Electrical Services and Energy Management,317,300
1288,TU803,Electronic Engineering,243,243
1289,TU804,Engineering (Common Entry with Award options),271,
1290,TU805,Engineering (General Entry),402,
1291,TU806,Sustainable Energy Engineering,262,
1292,TU807,Computer Engineering in Mobile Systems,276,
1293,TU808,Engineering Software,260,260
1294,TU809,Mechanical Engineering,235,
1295,TU810,Mechatronic Engineering,270,
1296,TU811,Product Design,411,
1297,TU812,"Design,Technology and Innovation",270,
1298,TU813,Automation Engineering,218,218
1299,TU814,Transport Operations and Technology,285,251
1300,TU831,Architectural Technology,410,
1301,TU832,Architecture (Suitability Test and Interview),622,
1302,TU833,Construction Management,367,
1303,TU834,Geographic Science,288,
1304,TU835,Planning and Environmental Management,313,
1305,TU836,Property Economics (Valuation Surveying),401,
1306,TU837,Quantity Surveying and Construction Economics,385,
1307,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,
1308,TU852,Chemical Sciences with Medicinal Chemistry,476,
1309,TU854,Science (General Entry),476,
1310,TU855,Science with Nanotechnology,331,319
1311,TU856,Computer Science,476,
1312,TU857,Computer Science (Infrastructure),391,
1313,TU858,Computer Science (International),377,
1314,TU859,Computing,217,234
1315,TU860,Computing (Information Technology),260,
1316,TU861,Computing with Language (French/German/Spanish),308,308
1317,TU862,Computing with Data Analytics,226,226
1318,TU863,Digital Forensics and Cyber Security,280,
1319,TU864,DNA and Forensic Analysis,400,390
1320,TU865,Computing with IT Management,226,
1321,TU866,Biomedical and Molecular Diagnostics,487,
1322,TU867,Biomedical Science,524,
1323,TU868,Clinical Measurement Science,510,
1324,TU869,Environmental Health,336,
1325,TU870,Human Nutrition and Dietetics,578,
1326,TU871,Optometry,509,
1327,TU872,Public Health Nutrition,491,
1328,TU873,Industrial Mathematics,250,250
1329,TU874,Mathematical Sciences,341,
1330,TU875,Pharmaceutical Healthcare,400,
1331,TU876,Pharmaceutical Science,377,349
1332,TU877,Physics Technology,308,
1333,TU878,Physics with Energy and Environment,337,337
1334,TU879,Physics with Medical Physics and Bioengineering,351,
1335,TU880,Physics with Data Science,578,
1336,TU881,Food Innovation,318,
